Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_101_Shield_Clean,1,Arduino_101_Shield,
D1,LED_D3.0mm,1,POWER,
J2,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,Conn_01x03,
"Q1, Q2",TO-92_Inline,2,BC338,
"R1, R4",R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,2,27R,
"R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,470R,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
"U1, U2",TO-92_Inline,2,LM35,
